,Stock1,Stock2,Pvalue,Category
143,PLXS,PRFT,0.27051402291087123,0
144,PS,PLXS,0.4655498743658041,0
145,POWI,PS,0.7625210397688813,0
146,PRGS,POWI,0.03216283102031655,0
147,PFPT,PRGS,0.20825933912009897,0
148,PTC,PFPT,0.06743632249636963,0
149,QRVO,PTC,0.3673255236965952,0
150,QCOM,QRVO,0.8935471138350961,0
151,QLYS,QCOM,0.8543788396348457,0
152,RXT,QLYS,0.9478726689173116,0
153,RMBS,RXT,0.7379880394001126,0
154,RPD,RMBS,0.15404359192019124,0
155,RP,RPD,0.44786556974183295,0
156,RCII,RP,0.17469647076425743,0
157,SABR,RCII,0.7746562541750293,0
158,SANM,SABR,0.31068549480677,0
159,SPNS,SANM,0.7571545734438656,0
160,SGMS,SPNS,0.23057170115465825,0
161,STX,SGMS,0.704570726986042,0
162,SCWX,STX,0.004726670125521434,1
163,SMTC,SCWX,0.8187996497070875,0
164,SLAB,SMTC,0.012175317723122034,0
165,SIMO,SLAB,0.25690907265668517,0
166,SLP,SIMO,0.009787914185816541,1
167,SINA,SLP,0.12322494337744366,0
168,SITM,SINA,0.8950699200134395,0
169,SWKS,SITM,0.399819954291157,0
170,SEDG,SWKS,0.7237394640686543,0
171,SY,SEDG,0.12574867245346982,0
172,SPLK,SY,0.8359204625841041,0
173,SPT,SPLK,0.9689993658570932,0
174,SPSC,SPT,0.3851811314074925,0
175,SSNC,SPSC,0.000800864242307382,1
176,STNE,SSNC,0.02069184076201615,0
177,SPWR,STNE,0.9320158166336312,0
178,SMCI,SPWR,0.6726970923269481,0
179,SVMK,SMCI,0.8774641610238323,0
180,SYKE,SVMK,0.7783392590999256,0
181,SYNA,SYKE,0.014628856766742467,0
182,SNPS,SYNA,0.9560756499980924,0
183,TTWO,SNPS,0.6582368686027232,0
184,TLND,TTWO,0.674013775545754,0
185,TENB,TLND,0.48672517725239084,0
186,TXN,TENB,0.5787136169394056,0
187,DSGX,TXN,0.7510893433504962,0
188,MIDD,DSGX,0.8467484213367952,0
189,TTD,MIDD,0.38430330653152583,0
190,TSEM,TTD,0.496136571036345,0
191,TRIP,TSEM,0.09968552953936072,0
192,TTEC,TRIP,0.3178469162817721,0
193,TTMI,TTEC,0.4961152282912255,0
194,UCTT,TTMI,0.3527993971485913,0
195,UPLD,UCTT,0.8917452323234137,0
196,UPWK,UPLD,0.3671240484644108,0
197,VRNS,UPWK,0.837146237124263,0
198,VRNT,VRNS,0.22272646312916827,0
199,VRSN,VRNT,0.01763579560899519,0
200,VRSK,VRSN,0.4605840884938817,0
201,VERX,VRSK,0.31422318255616555,0
202,VSAT,VERX,0.6062797260401152,0
203,VIAV,VSAT,0.824110559427365,0
204,VRTU,VIAV,0.701466135980379,0
205,WB,VRTU,0.8344644575609002,0
206,WDC,WB,0.8298144995651608,0
207,WIX,WDC,0.1631248786298547,0
208,WDAY,WIX,1.0,0
209,XLNX,WDAY,0.11696239620410309,0
210,XPER,XLNX,0.2983176200332755,0
211,YNDX,XPER,0.6755786171054652,0
